iter	Passed	Remaining
163	1571	8012
164	1579	7995
165	1588	7982
166	1598	7971
167	1606	7955
168	1615	7944
169	1624	7931
170	1633	7919
171	1644	7914
172	1652	7899
173	1661	7888
174	1670	7875
175	1679	7860
176	1687	7847
177	1696	7833
178	1705	7820
179	1713	7805
180	1722	7792
181	1730	7777
182	1738	7762
183	1747	7749
184	1755	7734
185	1764	7721
186	1773	7708
187	1781	7696
188	1790	7682
189	1799	7669
190	1807	7656
191	1817	7646
192	1826	7637
193	1835	7624
194	1843	7610
195	1851	7595
196	1860	7584
197	1869	7572
198	1878	7560
199	1886	7547
200	1895	7534
201	1904	7521
202	1912	7510
203	1921	7496
204	1930	7485
205	1940	7477
206	1950	7473
207	1960	7464
208	1969	7452
209	1978	7441
210	1987	7430
211	1996	7420
212	2004	7407
213	2013	7394
214	2021	7381
215	2030	7371
216	2039	7358
217	2047	7346
218	2058	7339
219	2066	7325
220	2074	7312
221	2084	7304
222	2093	7293
223	2102	7285
224	2111	7274
225	2120	7262
226	2131	7257
227	2139	7244
228	2148	7232
229	2156	7219
230	2164	7206
231	2172	7192
232	2181	7179
233	2189	7166
234	2197	7154
235	2206	7143
236	2215	7132
237	2224	7121
238	2232	7109
239	2240	7096
240	2250	7087
241	2260	7079
242	2268	7067
243	2276	7054
244	2285	7042
245	2293	7031
246	2303	7021
247	2311	7010
248	2320	6998
249	2329	6987
250	2337	6976
251	2345	6962
252	2353	6949
253	2361	6936
254	2369	6923
255	2378	6911
256	2386	6899
257	2394	6887
258	2403	6876
259	2411	6864
260	2420	6852
261	2430	6844
262	2438	6833
263	2446	6821
264	2455	6809
265	2463	6797
266	2471	6786
267	2480	6774
268	2488	6762
269	2497	6752
270	2505	6740
271	2514	6730
272	2523	6720
273	2531	6708
274	2540	6697
275	2548	6685
276	2557	6674
277	2565	6662
278	2573	6650
279	2582	6639
280	2590	6628
281	2599	6618
282	2607	6606
283	2616	6595
284	2624	6584
285	2633	6574
286	2642	6564
287	2650	6552
288	2659	6542
289	2668	6532
290	2676	6522
291	2685	6510
292	2694	6500
293	2702	6489
294	2711	6479
295	2722	6475
296	2745	6497
297	2754	6489
298	2765	6482
299	2773	6472
300	2783	6464
301	2792	6453
302	2800	6443
303	2809	6432
304	2817	6421
305	2826	6410
306	2836	6403
307	2845	6393
308	2856	6388
309	2864	6376
310	2873	6366
311	2884	6360
312	2893	6350
313	2902	6340
314	2910	6329
315	2919	6320
316	2928	6309
317	2936	6298
318	2945	6287
319	2953	6276
320	2961	6264
321	2970	6254
322	2979	6244
323	2987	6233
324	2996	6222
325	3004	6211
326	3013	6202
327	3022	6191
328	3031	6181
329	3040	6173
330	3049	6164
331	3058	6153
332	3067	6143
333	3075	6132
334	3084	6123
335	3093	6113
336	3102	6103
337	3110	6092
338	3119	6082
339	3128	6072
340	3137	6062
341	3146	6052
342	3154	6042
343	3163	6032
344	3172	6022
345	3180	6011
346	3188	6000
347	3198	5991
348	3206	5981
349	3215	5971
350	3224	5962
351	3233	5952
352	3242	5943
353	3251	5933
354	3259	5922
355	3267	5911
356	3276	5901
357	3284	5890
358	3293	5880
359	3302	5871
360	3311	5860
361	3320	5851
362	3328	5840
363	3336	5830
364	3345	5819
365	3353	5808
366	3361	5797
367	3369	5786
368	3378	5776
369	3386	5766
370	3394	5755
371	3402	5744
372	3410	5733
373	3419	5722
374	3427	5712
375	3437	5704
376	3446	5695
377	3455	5685
378	3463	5675
379	3472	5665
380	3480	5654
381	3489	5644
382	3497	5634
383	3506	5624
384	3514	5614
385	3523	5604
386	3532	5594
387	3540	5584
388	3549	5574
389	3557	5564
390	3565	5554
391	3574	5544
392	3583	5534
393	3591	5524
394	3600	5514
395	3608	5503
396	3616	5493
397	3625	5483
398	3633	5473
399	3643	5464
400	3651	5454
401	3659	5443
402	3668	5433
403	3676	5423
404	3685	5413
405	3693	5403
406	3701	5393
407	3710	5383
408	3718	5373
409	3726	5362
410	3735	5352
411	3743	5342
412	3751	5332
413	3760	5322
414	3768	5312
415	3777	5302
416	3785	5291
417	3793	5281
418	3801	5271
419	3810	5261
420	3818	5252
421	3827	5241
422	3835	5232
423	3844	5223
424	3854	5214
425	3862	5204
426	3871	5194
427	3879	5184
428	3888	5175
429	3896	5165
430	3904	5154
431	3913	5145
432	3922	5136
433	3930	5126
434	3939	5116
435	3947	5107
436	3956	5097
437	3965	5087
438	3973	5078
439	3982	5068
440	3990	5058
441	3999	5048
442	4007	5039
443	4016	5029
444	4024	5019
445	4033	5009
446	4042	5000
447	4050	4990
448	4059	4981
449	4067	4971
450	4075	4961
451	4084	4951
452	4092	4941
453	4101	4932
454	4109	4922
455	4118	4912
456	4126	4902
457	4134	4893
458	4143	4883
459	4151	4874
460	4160	4864
461	4169	4855
462	4177	4845
463	4189	4839
464	4211	4845
465	4221	4837
466	4232	4830
467	4241	4822
468	4251	4812
469	4260	4804
470	4269	4795
471	4278	4786
472	4287	4776
473	4296	4767
474	4305	4758
475	4314	4750
476	4324	4741
477	4332	4731
478	4341	4722
479	4350	4713
480	4359	4703
481	4367	4693
482	4376	4684
483	4384	4674
484	4394	4666
485	4403	4657
486	4412	4647
487	4421	4639
488	4430	4629
489	4439	4620
490	4449	4612
491	4459	4604
492	4468	4595
493	4477	4586
494	4485	4576
495	4494	4566
496	4502	4556
497	4511	4547
498	4519	4537
499	4529	4529
500	4537	4519
501	4546	4510
502	4556	4502
503	4565	4492
504	4573	4482
505	4581	4473
506	4590	4464
507	4599	4454
508	4607	4444
509	4615	4434
510	4624	4424
511	4633	4416
512	4641	4406
513	4650	4396
514	4659	4387
515	4667	4377
516	4675	4368
517	4684	4358
518	4692	4349
519	4701	4339
520	4709	4329
521	4717	4320
522	4725	4310
523	4735	4301
524	4743	4292
525	4752	4282
526	4760	4273
527	4769	4264
528	4778	4254
529	4787	4245
530	4795	4235
531	4803	4225
532	4812	4216
533	4820	4206
534	4828	4196
535	4837	4187
536	4846	4178
537	4854	4168
538	4863	4159
539	4871	4149
540	4879	4140
541	4889	4131
542	4898	4122
543	4907	4113
544	4916	4104
545	4925	4095
546	4934	4086
547	4942	4076
548	4951	4067
549	4960	4058
550	4968	4048
551	4976	4039
552	4985	4029
553	4994	4020
554	5002	4011
555	5010	4001
556	5019	3991
557	5027	3982
558	5036	3973
559	5045	3964
560	5054	3955
561	5063	3945
562	5071	3936
563	5080	3927
564	5089	3918
565	5097	3908
566	5106	3899
567	5114	3889
568	5123	3880
569	5131	3871
570	5140	3861
571	5148	3852
572	5157	3843
573	5165	3833
574	5174	3824
575	5183	3815
576	5191	3805
577	5199	3796
578	5208	3787
579	5217	3777
580	5225	3768
581	5234	3759
582	5243	3750
583	5251	3741
584	5260	3732
585	5269	3723
586	5278	3713
587	5287	3705
588	5303	3700
589	5314	3692
590	5327	3686
591	5337	3678
592	5346	3669
593	5356	3661
594	5365	3652
595	5374	3643
596	5383	3634
597	5391	3624
598	5400	3615
599	5409	3606
600	5418	3597
601	5427	3588
602	5436	3579
603	5445	3569
604	5454	3561
605	5463	3552
606	5472	3543
607	5481	3533
608	5489	3524
609	5498	3515
610	5506	3505
611	5515	3496
612	5523	3487
613	5532	3477
614	5540	3468
615	5549	3459
616	5558	3450
617	5566	3440
618	5575	3431
619	5584	3422
620	5592	3413
621	5601	3404
622	5610	3395
623	5619	3385
624	5628	3377
625	5637	3368
626	5646	3358
627	5655	3350
628	5664	3340
629	5672	3331
630	5682	3322
631	5690	3313
632	5702	3305
633	5711	3297
634	5720	3288
635	5730	3279
636	5738	3270
637	5746	3260
638	5755	3251
639	5764	3242
640	5772	3232
641	5781	3223
642	5789	3214
643	5798	3205
644	5806	3196
645	5815	3186
646	5823	3177
647	5831	3167
648	5840	3158
649	5848	3149
650	5857	3140
651	5866	3131
652	5874	3121
653	5882	3112
654	5891	3103
655	5899	3093
656	5908	3084
657	5916	3075
658	5924	3065
659	5932	3056
660	5941	3046
661	5949	3037
662	5957	3028
663	5966	3019
664	5974	3009
665	5983	3000
666	5991	2991
667	6000	2982
668	6008	2972
669	6017	2963
670	6025	2954
671	6034	2945
672	6043	2936
673	6051	2927
674	6060	2917
675	6068	2908
676	6077	2899
677	6085	2890
678	6094	2881
679	6102	2871
680	6111	2862
681	6119	2853
682	6128	2844
683	6136	2835
684	6145	2825
685	6153	2816
686	6162	2807
687	6170	2798
688	6179	2789
689	6188	2780
690	6196	2770
691	6205	2761
692	6213	2752
693	6221	2743
694	6230	2734
695	6238	2724
696	6247	2716
697	6257	2707
698	6280	2704
699	6293	2697
700	6305	2689
701	6315	2681
702	6324	2671
703	6333	2662
704	6341	2653
705	6350	2644
706	6359	2635
707	6367	2626
708	6376	2617
709	6384	2607
710	6393	2598
711	6402	2589
712	6411	2580
713	6420	2571
714	6429	2562
715	6439	2554
716	6447	2544
717	6456	2535
718	6465	2526
719	6474	2518
720	6484	2509
721	6493	2500
722	6501	2491
723	6510	2481
724	6519	2472
725	6527	2463
726	6536	2454
727	6545	2445
728	6554	2436
729	6563	2427
730	6573	2418
731	6582	2409
732	6590	2400
733	6599	2391
734	6608	2382
735	6616	2373
736	6625	2364
737	6634	2355
738	6643	2346
739	6651	2337
740	6660	2328
741	6668	2318
742	6677	2309
743	6685	2300
744	6693	2291
745	6702	2281
746	6710	2272
747	6718	2263
748	6726	2254
749	6735	2245
750	6743	2235
751	6751	2226
752	6760	2217
753	6768	2208
754	6776	2199
755	6785	2189
756	6793	2180
757	6801	2171
758	6810	2162
759	6818	2153
760	6827	2144
761	6835	2134
762	6844	2126
763	6854	2117
764	6862	2108
765	6870	2098
766	6879	2089
767	6887	2080
768	6895	2071
769	6903	2062
770	6912	2053
771	6920	2043
772	6929	2034
773	6938	2025
774	6946	2016
775	6955	2007
776	6964	1998
777	6973	1989
778	6981	1980
779	6989	1971
780	6998	1962
781	7006	1953
782	7015	1944
783	7023	1935
784	7031	1925
785	7040	1916
786	7049	1907
787	7057	1898
788	7065	1889
789	7074	1880
790	7082	1871
791	7090	1862
792	7099	1853
793	7107	1844
794	7116	1834
795	7124	1825
796	7132	1816
797	7141	1807
798	7149	1798
799	7158	1789
800	7167	1780
801	7180	1772
802	7192	1764
803	7202	1755
804	7212	1747
805	7222	1738
806	7230	1729
807	7239	1720
808	7248	1711
809	7257	1702
810	7266	1693
811	7275	1684
812	7283	1675
813	7292	1666
814	7301	1657
815	7312	1648
816	7322	1640
817	7331	1631
818	7340	1622
819	7350	1613
820	7359	1604
821	7367	1595
822	7377	1586
823	7385	1577
824	7394	1568
825	7403	1559
826	7411	1550
827	7420	1541
828	7429	1532
829	7439	1523
830	7448	1514
831	7458	1505
832	7466	1496
833	7474	1487
834	7483	1478
835	7491	1469
836	7500	1460
837	7509	1451
838	7518	1442
839	7527	1433
840	7535	1424
841	7543	1415
842	7552	1406
843	7560	1397
844	7569	1388
845	7577	1379
846	7586	1370
847	7594	1361
848	7603	1352
849	7611	1343
850	7620	1334
851	7628	1325
852	7637	1316
853	7646	1307
854	7654	1298
855	7662	1289
856	7670	1279
857	7679	1270
858	7687	1261
859	7695	1252
860	7704	1243
861	7712	1234
862	7720	1225
863	7729	1216
864	7737	1207
865	7745	1198
866	7754	1189
867	7762	1180
868	7770	1171
869	7779	1162
870	7788	1153
871	7796	1144
872	7805	1135
873	7813	1126
874	7822	1117
875	7830	1108
876	7840	1099
877	7849	1090
878	7857	1081
879	7865	1072
880	7873	1063
881	7882	1054
882	7890	1045
883	7899	1036
884	7907	1027
885	7916	1018
886	7924	1009
887	7933	1000
888	7942	991
889	7951	982
890	7959	973
891	7968	964
892	7976	955
893	7988	947
894	7999	938
895	8008	929
896	8017	920
897	8028	911
898	8037	902
899	8045	893
900	8054	885
901	8063	876
902	8072	867
903	8081	858
904	8090	849
905	8099	840
906	8107	831
907	8116	822
908	8125	813
909	8134	804
910	8143	795
911	8152	786
912	8161	777
913	8170	768
914	8180	759
915	8190	751
916	8199	742
917	8209	733
918	8219	724
919	8228	715
920	8238	706
921	8246	697
922	8255	688
923	8263	679
924	8272	670
925	8281	661
926	8291	652
927	8299	643
928	8311	635
929	8320	626
930	8328	617
931	8337	608
932	8346	599
933	8354	590
934	8363	581
935	8372	572
936	8381	563
937	8390	554
938	8398	545
939	8406	536
940	8415	527
941	8423	518
942	8432	509
943	8441	500
944	8449	491
945	8458	482
946	8466	473
947	8475	464
948	8483	455
949	8492	446
950	8500	438
951	8509	429
952	8517	420
953	8526	411
954	8534	402
955	8542	393
956	8551	384
957	8559	375
958	8567	366
959	8576	357
960	8584	348
961	8593	339
962	8601	330
963	8610	321
964	8618	312
965	8626	303
966	8635	294
967	8645	285
968	8654	276
969	8662	267
970	8671	258
971	8679	250
972	8688	241
973	8696	232
974	8704	223
975	8712	214
976	8720	205
977	8729	196
978	8737	187
979	8745	178
980	8753	169
981	8762	160
982	8770	151
983	8778	142
984	8786	133
985	8795	124
986	8803	115
987	8812	107
988	8820	98
989	8829	89
990	8837	80
991	8846	71
992	8855	62
993	8863	53
994	8871	44
995	8880	35
996	8890	26
997	8902	17
998	8914	8
999	8924	0
